Magasins - 20171102;NÂ° Mag;Adr1 Mag;Adr2 Mag;Adr3 Mag;Codpo Mag;Ville Mag;Tel Mag;Fax Mag;Borne DECT;Fixe;DECT
ARRAS;3;AVENUE WINSTON CHURCHILL;FACE A AUCHAN;;62000;ARRAS;03 21 07 15 99;321512266;3;1;3
VILLENEUVE D'ASCQ;15;RUE DE VERSAILLES;;;59650;VILLENEUVE D'ASCQ;03 20 05 50 60;320473094;3;1;9
VALENCIENNES;16;CENTRE COMMERCIAL AUCHAN;;;59494;PETITE FORET;03 27 46 82 75;327202207;3;1;4
BRUAY LABUISSIERE;19;RN 41;2206 AV DE LA LIBERATION;;62700;LABUISSIERE;03 21 65 06 25;321536322;3;1;1
AMIENS;20;AVENUE DU 14 JUILLET 1789;;;80000;AMIENS;03 22 45 00 70;322454000;3;1;3
ST BRICE SOUS FORET;44;100 RUE DE PARIS;ZAE LES PERRUCHES;;95350;SAINT BRICE SOUS FORET;01 39 33 60 50;139336733;3;1;5
BOULOGNE SUR MER;60;CENTRE COMMERCIAL AUCHAN;;;62200;ST MARTIN LEZ BOULOGNE;03 21 31 90 09;321915640;3;1;4
CREIL;105;RN 16;CENTRE COMMERCIAL;;60740;SAINT MAXIMIN;03 44 24 36 20;344241150;3;1;5
NOYELLES GODAULT;128;ZAC DU BORD DES EAUX;CENTRE COMMERCIAL AUCHAN;;62950;NOYELLES GODAULT;03 21 76 14 00;321200287;3;1;3
COMPIEGNE;150;137 RUE DES METIERS;CCIAL VENETTE;;60880;JAUX;03 44 83 64 64;344832852;3;1;4
GRANDE SYNTHE;178;ROUTE DE SPYCKER;CCIAL AUCHAN;;59760;GRANDE SYNTHE;03 28 21 99 99;328216745;3;1;4
DIEPPE;201;AVENUE DES CANADIENS;CCIAL DU BELVEDERE;;76200;DIEPPE;02 35 06 19 25;235061923;3;1;4
TARBES IBOS;7;ROUTE DE PAU;LIEU DIT DESSUS POUEY;;65420;IBOS;05 62 93 65 46;562937095;3;1;3
BX MERIGNAC;63;AVENUE KENNEDY;ROUTE CAP FERRET;;33700;MERIGNAC;05 56 97 42 96;556970043;3;1;9
MONTAUBAN;74;700 AVENUE DE PARIS;ZI AUSSONNE;;82000;MONTAUBAN;05 63 03 44 58;563203855;3;1;1
AGEN BOE;76;LIEU DIT CAMBES;;;47550;BOE;05 53 96 44 77;553981098;3;1;1
ARTIGUES;78;AVENUE DU PEYROU;RN 89;;33370;ARTIGUES PRES BORDEAUX;05 56 74 21 24;556747758;3;1;3
ANGLET-PONTOTS;138;AVENUE JEAN LEON LAPORTE;CCIAL BAB 2;;64600;ANGLET;05 59 63 01 13;559310065;3;1;8
MARSAC SUR L ISLE;140;AVENUE LOUIS SUDER;CCIAL AUCHAN;ANGLE R DES PRAIRIES;24430;MARSAC SUR L ISLE;05 53 07 31 50;553545626;3;1;1
PORTET SUR GARONNE;158;18 AVENUE DES PALANQUES;CC CARREFOUR;;31120;PORTET SUR GARONNE;05 61 76 70 70;561724214;3;1;6
ALBI;163;ROUTE DE CARMAUX;;;81380;LESCURE D'ALBIGEOIS;05 63 60 67 70;563460459;3;1;3
PAU LESCAR;164;CCIAL LESCAR SOLEIL;;;64230;LESCAR;05 59 81 01 55;559270062;3;1;9
ST ALBAN;172;ROUTE DE PARIS;CCIAL DE L HEXAGONE;;31140;SAINT ALBAN;05 61 37 09 17;562752127;3;1;1
ANGOULEME LA COURONNE;176;CENTRE COMMERCIAL AUCHAN;TUILERIE DE CHANTE MERLE;;16400;LA COURONNE;05 45 67 28 56;545671763;3;1;3
MONT DE MARSAN;179;AVENUE DU MARECHAL JUIN;;;40000;MONT DE MARSAN;05 58 05 90 40;558062541;3;1;1
RODEZ (ONET LE CHATEAU);215;RD 988;A COTE GARAGE RENAULT;;12850;ONET LE CHATEAU;05 65 46 69 75;565787621;3;1;1
COLOMIERS;229;ZAC DU PERGET;7 RUE MARIE CURIE;;31770;COLOMIERS;05 34 26 32 60;561300385;3;1;3
BORDEAUX LE LAC;232;ZA ALIENOR D'AQUITAINE;;;33300;BORDEAUX LE LAC;05 56 50 68 82;556431138;3;1;1
CHANTEPIE;9;PARC DE LA PIERRE BLANCHE;C.COMMERCIAL ROCADE SUD;;35135;CHANTEPIE;02 99 41 58 59;299415805;3;1;9
AUGNY;46;2 RUE BOIS D'ORLY;ZONE ACTISUD;ZAC DUNIL;57685;AUGNY;03 87 38 37 81;387383951;3;1;3
ANNEMASSE;85;2 A RUE DES ESSERTS;;;74100;ANNEMASSE;04 50 87 14 70;450377943;3;1;8
LYON LIMONEST;88;RN 6;LIEU DIT LA TUILERIE;;69760;LIMONEST;04 78 35 25 69;478355331;3;1;7
LAMPERTHEIM MUNDOLSHEIM;94;ROUTE DE BRUMATH;RN 63;;67450;LAMPERTHEIM;03 88 20 56 83;388204573;3;1;3
SAINTE GENEVIEVE DES BOIS 2;103;RUE DE HUREPOIX;;;91700;FLEURY MEROGIS;01 69 52 40 38;169462303;3;1;5
BARENTIN;106;CCIAL LE MESNIL ROUX;;;76360;BARENTIN;02 35 92 07 90;235910995;3;1;5
BRIVE 2;108;2 AVENUE LEO LAGRANGE;;;19100;BRIVE LA GAILLARDE;05 55 24 42 57;555171655;3;1;3
VICHY 2;120;73 ROUTE DE CHARMEIL;;;3700;BELLERIVE SUR ALLIER;04 70 32 62 26;470325808;3;1;9
MONDEVILLE ETOILE;121;RUE DU COMMERCE;RN 13;ZONE DE L'ETOILE;14120;MONDEVILLE;02 31 83 47 53;231830980;3;1;6
VILLENEUVE LOUBET;122;1255 ROUTE NATIONALE 7;;;6270;VILLENEUVE LOUBET;04 93 73 21 18;492130076;3;1;7
COIGNIERES;125;85 RN10;;;78310;COIGNIERES;01 34 61 46 66;134618870;3;1;8
SAINT PRIEST;134;190 ROUTE DE GRENOBLE;;;69800;ST.PRIEST;04 78 40 12 20;478903603;3;1;9
NARBONNE;210;30 RUE ALFRED CHAUCHARD;ZAC DES BONNES SOURCES;;11100;NARBONNE;04 68 90 10 60;468326604;3;1;3
P.ROCHER;4;12 RUE DU ROCHER;;;75008;PARIS;01 45 22 08 09;143876163;3;1;1
CHERBOURG;5;15 AVENUE JF MILLET;;;50100;CHERBOURG;02 33 20 46 32;233204614;3;1;5
BONDY;6;196-200 AVENUE GALLIENI;RN 3;;93140;BONDY;01 48 02 80 08;148483211;3;1;3
TOURS CHAMBRAY II;8;160 AVENUE DU GRAND SUD;RN 10;;37170;CHAMBRAY LES TOURS;02 47 28 15 71;247281517;3;1;5
CALUIRE;11;2 AVENUE LOUIS DUFOUR;HAUT MONTEE DES SOLDATS;;69300;CALUIRE ET CUIRE;04 72 27 01 10;478086177;3;1;3
ANGERS;12;BOULEVARD RAMON;ANGLE QUAI F.FAURE;;49100;ANGERS;02 41 34 92 58;241348315;3;1;4
PRINGY(ST FARGEAU);17;RN 7;;;77310;SAINT FARGEAU PONTHIERRY;01 60 65 51 01;160653458;3;1;1
AIX-MILLES;21;CC LA PIOLINE;;;13290;LES MILLES;04 42 64 00 64;442391886;3;1;3
VINEUIL;23;308 RUE LAVOISIER;CENTRE COMMERCIAL AUCHAN;;41350;VINEUIL;02 54 50 05 35;254420658;3;1;4
BEZIERS;24;ZAC DE LA BASTIDE;;;34500;BEZIERS;04 67 62 30 06;467351228;3;1;4
CHAMBERY;25;AVENUE DE CHAMBERY;RN 512;;73230;SAINT ALBAN LEYSSE;04 79 85 69 32;479700381;3;1;5
PEROLS(MONTPELLIER);27;ZAC LE FENOUILLET;ROUTE DE CARNON;;34470;PEROLS;04 67 50 01 69;467507871;3;1;8
ST ET.D.ROUVRAY;28;RUE GEORGES BIZET;;;76800;ST ETIENNE DU ROUVRAY;02 35 65 31 29;235666450;3;1;3
ST PARRES AUX TERTRES;29;RN 19;;;10410;ST PARRES AUX TERTRES;03 25 76 95 90;325760995;3;1;3
CLAYE SOUILLY;33;RN 3;FACE PARKING CARREFOUR;;77410;CLAYE SOUILLY;01 60 26 78 49;160268230;3;1;3
CHOLET;40;BD DES TURBAUDIERES;;;49300;CHOLET;02 41 58 28 88;241581229;3;1;3
OLLIOULES;41;77 CHEMIN DES CANNIERS;QUARTIER QUIEZ;;83190;OLLIOULES;04 94 10 58 76;494949994;3;1;4
ANNECY;48;LE GRAND EPAGNY;;;74330;LA BALME DE SILINGY;04 50 22 20 17;450222742;3;1;4
ORLEANS SARAN;51;RN 20;C COMMERCIAL 100 ARPENTS;;45770;SARAN;02 38 73 32 54;238733902;3;1;4
LANESTER;53;LIEU DIT LANN SEVELIN;;;56600;LANESTER;02 97 76 63 10;297769516;3;1;4
CHALON SUR SAONE;54;RUE THOMAS DUMOREY;;;71100;CHALON SUR SAONE;03 85 93 61 93;385940859;3;1;3
BOULOGNE BILLANCOURT;55;19 AVENUE DU GAL LECLERC;;;92100;BOULOGNE BILLANCOURT;01 49 10 09 58;146083468;3;1;4
VELIZY;56;55 AVENUE DE L'EUROPE;;;78140;VELIZY VILLACOUBLAY;01 39 46 37 80;139465284;3;1;9
AUXERRE;57;4 RUE DES FOURNEAUX;CCIAL LES CLAIRONS;;89000;AUXERRE;03 86 46 45 48;386427118;3;1;4
LEVALLOIS PERRET;59;7 BOULEVARD BINEAU;;;92300;LEVALLOIS PERRET;01 47 59 00 21;147590429;3;1;3
CLERMONT FERRAND;61;235 RUE GUSTAVE FLAUBERT;;;63000;CLERMONT FERRAND;04 73 26 97 60;473268609;3;1;9
BESANCON-MISEREY;62;ZAC DE VALENTIN;57 ROUTE DE CHATILLON;(FACE A CARREFOUR);25480;MISEREY SALINES;03 81 88 04 36;381508037;3;1;1
BOURGES;64;ROUTE DE LA CHARITE;RN 151;;18390;ST GERMAIN DU PUY;02 48 24 30 45;248659502;3;1;3
NANTERRE;67;87 RUE DU PREMIER MAI;PRES DU PONT DE BEZON;;92000;NANTERRE;01 47 80 00 02;147853732;3;1;4
LA VALETTE;70;AVENUE DE L'UNIVERSITE;CCOMMERCIALE VALETTE EST;;83160;LA VALETTE;04 94 75 05 24;494143446;3;1;4
POITIERS CHASSENEUIL;71;16 RUE DU COMMERCE;RN 10;;86360;CHASSENEUIL DU POITOU;05 49 52 71 54;549881228;3;1;3
STE FOY LES LYON;75;43/45 R DE LA LIBERATION;;;69110;SAINTE FOY LES LYON;04 72 16 03 76;472169110;3;1;1
BELLE EPINE RUNGIS;77;RUE DES ALOUETTES;THIAIS;;94150;RUNGIS;01 46 87 89 35;149787477;3;1;3
MAZARGUES;83;265-299 AV DE MAZARGUES;;;13008;MARSEILLE;04 91 22 85 55;491226088;3;1;3
VANNES PLOEREN;87;RUE EDGARD TOUFFEREAU;LES JARDINS DE LUSCANEN;;56880;PLOEREN;02 97 63 54 03;297631901;3;1;6
GIVORS;91;CCOMMERCIAL 2 VALLEES;ZI DU GIER;;69700;GIVORS;04 72 24 01 48;472499274;3;1;3
P.VAUGIRARD;93;245 RUE VAUGIRARD;;;75015;PARIS;01 47 34 41 59;140610684;3;1;1
MONTGERMONT;95;RUE METTRIE;RN 137;;35760;ST GREGOIRE;02 99 68 80 74;299238865;3;1;4
REZE;96;RUE MARC ELDER;ROUTE DE PORNIC;;44400;REZE;02 40 04 13 57;251703469;3;1;3
QUETIGNY DIJON;97;10 BD DU GRAND MARCHE;ZAC CHARRIERES;;21800;QUETIGNY;03 80 46 01 57;380463808;3;1;3
LAVAL;98;AV DE LATTRE DE TASSIGNY;;;53000;LAVAL;02 43 02 85 05;243262512;3;1;3
QUIMPER;100;15 BLD DU CREACH GUEN;;;29000;QUIMPER;02 98 53 39 39;298530003;3;1;6
NIMES;101;ANGLE CH CROIX DE VAUVERT;No 411;;30900;NIMES;04 66 84 89 09;466842101;3;1;4
MOUGINS;109;604 CHEMIN CAMPELIERES;;;6250;MOUGINS;04 93 46 29 64;493694759;3;1;8
CHAMBOURCY;110;ROUTE DE MANTES;RN 13;;78240;CHAMBOURCY;01 30 74 70 89;130657880;3;1;7
LAXOU;113;ROUTE NATIONALE 4;;;54520;LAXOU;03 83 98 44 44;383951184;3;1;3
ECHIROLLES;114;1 COURS JEAN JAURES;ROND POINT DU RONDEAU;;38130;ECHIROLLES;04 76 09 30 25;476228555;3;1;3
CRETEIL;118;CARREFOUR POMPADOUR;ZA DE HAUTE QUINTE;;94000;CRETEIL;01 49 80 17 87;143992663;3;1;7
LANGUEUX;123;2 RUE FULGENCE BIENVENUE;;;22360;LANGUEUX;02 96 33 96 06;296524491;3;1;5
TOURS NORD;124;268 AVENUE ANDRE MAGINOT;RN 10;;37100;TOURS;02 47 51 97 32;247880264;3;1;3
PUGET SUR ARGENS;129;RN 7;LIEU DIT LES BARESTES;;83480;PUGET SUR ARGENS;04 98 11 82 70;494815437;3;1;6
CHAINTRE MACON 2;131;590 RUE DE BOURGOGNE;ZAC DES BOUCHARDES;RN 6;71570;CHAINTRE;03 85 36 50 92;385365410;3;1;1
THIONVILLE;135;14 BOUCLE VAL MARIE;ROUTE D'ESCH;;57100;THIONVILLE;03 82 34 68 30;382883225;3;1;3
PONTAULT COMBAULT;136;RN 4;CCIAL CARREFOUR;;77340;PONTAULT COMBAULT;01 60 28 02 40;164439125;3;1;3
LE PONTET-AVIGNON;137;AVENUE LOUIS BRAILLE;CC AVIGNON NORD;;84130;LE PONTET;04 90 31 00 22;490329650;3;1;4
LE MANS-CLEMENCEAU;139;2 BOULEVARD CLEMENCEAU;;;72000;LE MANS;02 43 85 38 34;243723840;3;1;5
PERPIGNAN;141;RN 9;ROUTE D'ESPAGNE;;66000;PERPIGNAN;04 68 55 59 70;468542348;3;1;6
MONTBELIARD;149;CC PIED DES GOUTTES;;;25200;MONTBELIARD;03 81 90 24 93;381900184;3;1;1
SAVIGNY LE TEMPLE;152;18 RUE DU COBALT;CCIAL BOISSENART;;77176;SAVIGNY LE TEMPLE;01 64 41 01 11;160633847;3;1;1
LOGNES;153;RUE WA MOZART;ZI DU SEGRAIS;;77185;LOGNES;01 64 80 71 02;160058096;3;1;3
CHELLES;155;AV DU GENDARME CASTERMANT;RN 34;;77500;CHELLES;01 64 26 29 77;164211006;3;1;1
VILLEFRANCHE SUR SAONE;157;511 AVENUE DE L EUROPE;;;69400;VILLEFRANCHE SUR SAONE;04 74 62 33 89;474606124;3;1;4
NIORT;160;ROUTE DE POITIERS;ESPACE MENDES FRANCE 2;;79000;NIORT;05 49 33 45 46;549330631;3;1;3
ROANNE;162;129 AVENUE DE PARIS;;;42300;ROANNE;04 77 70 58 88;477231470;3;1;4
HOUDEMONT;167;6 RUE CHARLES SELLIER;ZAC DES EGREZ;;54180;HOUDEMONT;03 83 57 12 13;383539109;3;1;1
STRASBOURG LA VIGIE;170;1 RUE FERDINAND BRAUN;ZONE COMMERCIALE LA VIGIE;;67540;OSTWALD;03 88 67 98 18;388679182;3;1;3
HERBLAY 2;171;51 BOULEVARD DU HAVRE;;;95220;HERBLAY;01 39 78 70 40;139787660;3;1;7
BREST GOUESNOU;173;ROUTE DE GOUESNOU;ZA DE KERGARADEC;;29200;BREST;02 98 41 52 41;298419350;3;1;5
EPINAL;177;16 RUE BAZAINE;ZONE DE LA VOIVRE;;88000;EPINAL;03 29 31 94 31;329310998;3;1;3
ST MITRE LES REMPARTS;182;1 ZAC DES ETANGS;ROUTE D'ISTRES;;13920;ST MITRE LES REMPARTS;04 42 44 05 50;442499120;3;1;3
VARENNES-VAUZELLES;183;RUE HENRI BOUQUILLARD;ROUTE DE FOURCHAMBAULT;;58640;VARENNES VAUZELLES;03 86 23 92 92;386239313;3;1;3
CHARTRES;188;RUE DIEUDONNE COSTES;;;28000;CHARTRES;02 37 30 90 76;237287901;3;1;4
P.BERTHIER;200;7 BOULEVARD BERTHIER;;;75017;PARIS;01 42 29 34 44;144850059;3;1;4
FEYTIAT;206;8/10 ALLEE BALTART;PARC DE LA VALOINE;;87220;FEYTIAT;05 55 31 92 02;555303157;3;1;3
ST MAUR;207;AVENUE DE L'OCCITANIE;RN 20;;36250;SAINT MAUR;02 54 27 33 14;254273351;3;1;3
BOURGOIN JALLIEU;208;RUE DENIS PAPIN;ZAC DE LA MALADIERE;;38300;BOURGOIN JALLIEU;04 74 19 14 45;474280511;3;1;3
NICE ARIANE;213;53/55 BD DE L'ARIANE;;;6300;NICE;04 93 56 82 26;493567830;3;1;4
LANNION;217;ZONE RUSQUET SUD;;;22300;LANNION;02 96 48 01 40;296484536;3;1;3
ST MALO;218;44 RUE DE LA GRASSINAIS;LOT 3;;35400;SAINT MALO;02 99 19 84 00;299198409;3;1;3
P.SUFFREN;219;70 BIS AVENUE DE SUFFREN;;;75015;PARIS;01 47 34 47 87;147344393;3;1;4
EVREUX;222;LOTISSEMENT LA GARENNE 2;;;27000;EVREUX;02 32 28 53 60;232284387;3;1;3
P.BD SEBASTOPOL;223;33 BD SEBASTOPOL;;;75001;PARIS;01 40 39 10 26;140390520;3;1;1
MULHOUSE (KINGERSHEIM);227;167 RUE DE RICHWILLER;;;68260;KINGERSHEIM;03 89 52 92 93;389579661;3;1;3
COURBEVOIE;234;109/111 BD DE VERDUN;;;92400;COURBEVOIE;01 43 34 93 00;141169631;3;1;3
LE MANS ST AUBIN;235;ZI DU MOULIN AUX MOINES;;;72650;LA CHAPELLE ST AUBIN;02 43 24 62 62;243246200;3;1;3
MONTESSON;236;265/267 AV GABRIEL PERI;;;78360;MONTESSON;01 39 57 54 50;139575665;3;1;1
ORLEANS;237;RUE BRILLAT SAVARIN;;;45100;ORLEANS;02 38 51 34 87;238563558;3;1;3
PARIS QUAI DE LA GARE;239;65 QUAI DE LA GARE;;;75013;PARIS;01 45 84 72 38;145847408;3;1;3
PARIS VILLETTE;240;144 BD DE LA VILLETTE;;;75019;PARIS;01 42 03 00 79;140400534;3;1;3
PARIS ZOLA;241;38 AVENUE EMILE ZOLA;;;75015;PARIS;01 44 37 07 90;144370794;3;1;1
P.NATION;36;9 PLACE DE LA NATION;;;75011;PARIS;01 43 73 78 05;144935506;3;1;1
NANTES ST HERBLAIN;39;279 ROUTE DE VANNES;;;44800;ST HERBLAIN;02 40 63 54 79;240636172;3;1;4
L ETRAT ST ETIENNE;45;ROUTE NATIONALE 42;CARREFOUR RATARIEUX;;42580;L ETRAT;04 77 93 54 89;477749836;3;1;8
ST MENET;69;ROUTE DEPARTEMENTALE NO 2;AUTOROUTE EST;;13011;MARSEILLE;04 91 43 13 53;491890412;3;1;6
LA ROCHELLE PUILBOREAU;81;ZONE COMMERCIALE BEAULIEU;;;17138;PUILBOREAU;05 46 68 05 04;546681382;3;1;4
CABRIES;115;CTRE CIAL BARNEOUD;PLAN DE CAMPAGNE;;13480;CABRIES;04 42 46 63 33;442466334;3;1;4
TRIGNAC;127;ZAC FONTAINE AU BRUN;;;44570;TRIGNAC;02 40 90 00 06;240459042;3;1;5
GONFREVILLE;159;AVENUE LENINE;CCIAL DE LA PORTE OCEANE;;76700;GONFREVILLE L'ORCHER;02 35 45 77 77;235458123;3;1;3
